# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=1000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.172315 -----------------
#dely    BF
0.050  0.2992  0.0007
0.150  0.2744  0.0007
0.250  0.2451  0.0007
0.350  0.2145  0.0006
0.450  0.1775  0.0005
0.550  0.1500  0.0005
0.650  0.1188  0.0004
0.750  0.0872  0.0003
0.850  0.0637  0.0003
0.950  0.0397  0.0002
1.050  0.0306  0.0002
1.150  0.0143  0.0001
1.250  0.0070  0.0000
1.350  0.0021  0.0000
1.450 -0.0001 -0.0000
1.550 -0.0004 -0.0000
1.650 -0.0003 -0.0000
1.750 -0.0001 -0.0000
