# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.109083 -----------------
#dely    BF
0.050 -0.1199 -0.0001
0.150 -0.1155 -0.0001
0.250 -0.1078 -0.0001
0.350 -0.1003 -0.0001
0.450 -0.0920 -0.0001
0.550 -0.0844 -0.0001
0.650 -0.0747 -0.0001
0.750 -0.0668 -0.0001
0.850 -0.0617 -0.0001
0.950 -0.0557 -0.0001
1.050 -0.0503 -0.0001
1.150 -0.0444 -0.0001
1.250 -0.0360 -0.0001
1.350 -0.0307 -0.0001
1.450 -0.0236 -0.0001
1.550 -0.0152 -0.0001
1.650 -0.0088 -0.0000
1.750 -0.0030 -0.0000
