# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0220389 -----------------
#dely    BF    dB     BFVar
0.050 -0.0033 -0.0000  0.0034
0.150  0.0031  0.0000  0.0023
0.250  0.0140  0.0000  0.0024
0.350  0.0211  0.0001  0.0014
0.450  0.0281  0.0001  0.0014
0.550  0.0305  0.0001  0.0015
0.650  0.0299  0.0001  0.0013
0.750  0.0269  0.0002  0.0012
0.850  0.0224  0.0001  0.0008
0.950  0.0179  0.0001  0.0007
1.050  0.0128  0.0001  0.0004
1.150  0.0084  0.0001  0.0004
1.250  0.0049  0.0001  0.0003
1.350  0.0024  0.0000  0.0002
1.450  0.0009  0.0000  0.0001
1.550  0.0002  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
