0.15 0.242 0.332 0.2474 0.2083 0.2523 0.3293 0.3159 0.2283 0.3553 0.3444 0.2046 0.3312 0.3192 0.2525 0.2516 0.2651 0.188 0.329 0.2444 0.3666 0.2641 0.2437 0.285 0.244 0.3176 0.3491 0.2523 0.3117 0.3534 0.3014 0.3314 0.1452 0.2477 0.2073 0.157 0.286 0.3546 0.2712 0.2522 0.3025 0.2195 0.2546 0.2679 0.2201 0.2129 0.3167 0.2569 0.2708 0.2659 0.3016 0.3058 0.3604 0.3291 0.2993 0.1817 0.2333 0.2071 0.2775 0.2369 0.3367 0.3445 0.2535 0.3322 0.1519 0.3162 0.2306 0.2125 0.3202 0.2344 0.2844 0.1347 0.2406 0.2189 0.3515 0.2751 0.3287 0.1683 0.2224 0.3187 0.327 0.283 0.2603 0.2576 0.2527 0.2123 0.3441 0.3416 0.1994 0.2966 0.225 0.2472 0.3319 0.3116 0.3094 0.3916 0.2853 0.3317 0.3393 0.3353 0.2248 
0.25 0.2226 0.306 0.2306 0.1844 0.2355 0.3038 0.2938 0.2139 0.3213 0.3087 0.1906 0.3091 0.2964 0.2372 0.2343 0.247 0.1777 0.3027 0.2307 0.3356 0.2347 0.2261 0.2518 0.2314 0.2866 0.3215 0.2342 0.2856 0.3233 0.2712 0.2977 0.1288 0.2285 0.1931 0.142 0.2678 0.3195 0.2531 0.2355 0.2723 0.2052 0.2383 0.2361 0.2061 0.2038 0.2922 0.2378 0.25 0.2474 0.2688 0.2719 0.3269 0.3002 0.2781 0.1646 0.2177 0.1929 0.2636 0.2214 0.2996 0.3068 0.2265 0.3098 0.1356 0.2944 0.2136 0.2026 0.2924 0.2161 0.2572 0.1187 0.2244 0.196 0.3222 0.2576 0.3033 0.1459 0.1996 0.2964 0.3044 0.2611 0.2407 0.2276 0.2319 0.1998 0.3087 0.3084 0.1828 0.2761 0.2126 0.2287 0.3002 0.2886 0.2833 0.3583 0.2681 0.3061 0.3109 0.3087 0.208 
0.35 0.2066 0.2787 0.2136 0.1584 0.2187 0.278 0.2679 0.1978 0.2907 0.2734 0.1763 0.2858 0.2642 0.2215 0.2119 0.2284 0.1675 0.2743 0.2167 0.3017 0.207 0.211 0.2166 0.2153 0.2562 0.2848 0.2167 0.2588 0.2851 0.2328 0.2614 0.1127 0.2116 0.1824 0.1233 0.2473 0.288 0.2372 0.2161 0.2337 0.1902 0.2235 0.2053 0.1953 0.1879 0.2683 0.2188 0.2322 0.227 0.2336 0.2355 0.2928 0.2694 0.2541 0.1461 0.1982 0.1785 0.2469 0.206 0.2615 0.2686 0.1996 0.2844 0.1193 0.2693 0.2022 0.1904 0.2617 0.1988 0.23 0.1034 0.2056 0.1758 0.2904 0.2339 0.2787 0.1271 0.1719 0.2671 0.2813 0.2452 0.2182 0.1969 0.2132 0.1878 0.2737 0.2692 0.1727 0.2496 0.1997 0.209 0.2714 0.2634 0.2605 0.3259 0.2505 0.2788 0.2842 0.2807 0.1916 
0.45 0.1876 0.2484 0.2009 0.1337 0.1994 0.247 0.2396 0.1834 0.2571 0.2357 0.1586 0.2607 0.2325 0.2066 0.1965 0.2111 0.1563 0.2433 0.2025 0.2617 0.1755 0.1938 0.1855 0.2012 0.2225 0.2491 0.1956 0.232 0.2472 0.1952 0.2229 0.0945 0.1935 0.168 0.1037 0.23 0.2515 0.221 0.1985 0.1968 0.1726 0.2068 0.1696 0.1812 0.1745 0.2412 0.1997 0.211 0.2062 0.2018 0.1978 0.2584 0.2387 0.2299 0.1276 0.1807 0.1623 0.2271 0.1883 0.2215 0.2291 0.1738 0.2644 0.0991 0.2454 0.1857 0.1786 0.2281 0.181 0.1966 0.0874 0.1874 0.1514 0.2582 0.2125 0.2489 0.1085 0.1462 0.2374 0.2586 0.2236 0.1993 0.1662 0.1935 0.1726 0.2391 0.2329 0.1563 0.2257 0.1879 0.1904 0.2407 0.2373 0.2353 0.2912 0.2307 0.2524 0.2551 0.2524 0.1767 
0.55 0.169 0.2187 0.1826 0.1088 0.1807 0.2192 0.2102 0.1636 0.2202 0.196 0.1444 0.2322 0.1983 0.1884 0.1759 0.1906 0.1466 0.2132 0.1873 0.2254 0.1447 0.1796 0.1481 0.1847 0.1886 0.2154 0.1754 0.2032 0.2103 0.1605 0.1856 0.0761 0.1704 0.1538 0.0851 0.2085 0.2118 0.2014 0.1817 0.16 0.1525 0.1857 0.1378 0.1669 0.1561 0.2154 0.177 0.1909 0.1851 0.1632 0.1621 0.218 0.2065 0.2036 0.1097 0.1611 0.1457 0.2087 0.1695 0.1819 0.1884 0.1448 0.2356 0.0808 0.2214 0.1693 0.166 0.1963 0.1639 0.1636 0.0718 0.1673 0.1284 0.2235 0.1896 0.2194 0.0867 0.1181 0.2083 0.2315 0.2016 0.1798 0.1347 0.175 0.1576 0.1982 0.1937 0.1405 0.2027 0.1733 0.1691 0.2091 0.2113 0.2072 0.2571 0.2105 0.221 0.2197 0.2221 0.156 
0.65 0.1471 0.187 0.1614 0.0828 0.1601 0.188 0.1793 0.1452 0.186 0.1574 0.1258 0.2061 0.166 0.1684 0.1548 0.1671 0.1309 0.1818 0.1678 0.1882 0.1175 0.1611 0.1168 0.1661 0.1567 0.1778 0.1547 0.1761 0.1698 0.1234 0.1479 0.0595 0.1496 0.1396 0.0667 0.1868 0.1759 0.1778 0.1605 0.1246 0.1316 0.1674 0.1065 0.1498 0.1404 0.1872 0.1557 0.1683 0.1617 0.1293 0.1277 0.1805 0.1743 0.1796 0.0907 0.1421 0.1281 0.1866 0.151 0.1428 0.1509 0.1193 0.2087 0.0625 0.1923 0.1519 0.1489 0.1618 0.1426 0.1349 0.0551 0.1448 0.106 0.1909 0.1651 0.1877 0.0665 0.0941 0.1754 0.2055 0.1768 0.1561 0.1044 0.1523 0.1383 0.1621 0.1557 0.1247 0.1747 0.1583 0.1494 0.1754 0.1829 0.1814 0.2187 0.1896 0.1931 0.1879 0.1921 0.1369 
0.75 0.1251 0.1567 0.1425 0.0619 0.1392 0.1577 0.1492 0.1265 0.1477 0.1238 0.1078 0.1755 0.1361 0.1514 0.1315 0.1452 0.1151 0.1503 0.1487 0.1513 0.0907 0.1409 0.0856 0.147 0.1245 0.1453 0.1316 0.1481 0.1352 0.0912 0.1146 0.043 0.1286 0.1237 0.0496 0.1644 0.1406 0.1571 0.1361 0.0934 0.1159 0.1475 0.0792 0.135 0.1242 0.1584 0.1337 0.1463 0.1384 0.0973 0.0937 0.1456 0.1421 0.154 0.0724 0.1205 0.1095 0.1632 0.1312 0.1086 0.1137 0.0939 0.1798 0.0465 0.164 0.1347 0.1327 0.1298 0.1226 0.1057 0.0406 0.1256 0.0843 0.1566 0.1413 0.1589 0.0495 0.0708 0.1459 0.1779 0.1516 0.1342 0.0781 0.1311 0.1225 0.1268 0.1207 0.1075 0.1479 0.1384 0.1277 0.1456 0.1541 0.1512 0.1827 0.1653 0.1605 0.1564 0.1599 0.1172 
0.85 0.1048 0.1282 0.1218 0.043 0.1188 0.1298 0.121 0.1078 0.117 0.0908 0.0896 0.1483 0.1071 0.1305 0.11 0.1226 0.1003 0.1219 0.1293 0.1181 0.0689 0.1221 0.0604 0.127 0.0973 0.1136 0.1097 0.1218 0.1017 0.0654 0.0852 0.0293 0.1076 0.1063 0.0345 0.1383 0.1094 0.1354 0.1176 0.066 0.0966 0.1262 0.055 0.1166 0.1055 0.1316 0.1108 0.1202 0.1144 0.0712 0.0663 0.1137 0.1134 0.1259 0.0554 0.101 0.0944 0.1406 0.1109 0.0793 0.0833 0.0729 0.1517 0.0316 0.1361 0.1141 0.1153 0.1031 0.1037 0.0803 0.0283 0.1047 0.067 0.1259 0.1175 0.1293 0.0325 0.0514 0.1182 0.1511 0.1298 0.1117 0.0541 0.1084 0.1027 0.098 0.0903 0.0901 0.1233 0.1199 0.1076 0.116 0.1282 0.1259 0.1497 0.1415 0.1319 0.125 0.1293 0.0971 
0.95 0.0864 0.1015 0.1004 0.027 0.0987 0.1043 0.0954 0.0881 0.0903 0.0647 0.0726 0.1207 0.0806 0.109 0.0926 0.1026 0.0866 0.0954 0.1072 0.0892 0.0506 0.1032 0.0396 0.1089 0.0723 0.084 0.0892 0.097 0.0755 0.0434 0.0584 0.0194 0.088 0.0913 0.0208 0.115 0.083 0.1129 0.0971 0.0436 0.0805 0.1065 0.0353 0.099 0.089 0.1053 0.0909 0.1004 0.0924 0.0498 0.0441 0.0823 0.0865 0.1028 0.0414 0.0833 0.0756 0.1174 0.0936 0.0546 0.0572 0.0529 0.1255 0.0199 0.11 0.0957 0.0977 0.0784 0.0864 0.0587 0.0168 0.0857 0.0484 0.0973 0.096 0.1026 0.0212 0.0367 0.0913 0.1245 0.107 0.0905 0.0363 0.089 0.0892 0.0701 0.0627 0.0747 0.0986 0.1015 0.0877 0.0891 0.1011 0.0998 0.1169 0.1185 0.1049 0.097 0.104 0.0805 
1.05 0.0684 0.0764 0.0825 0.016 0.0797 0.081 0.0723 0.0725 0.0649 0.0434 0.0577 0.095 0.0601 0.0892 0.0721 0.083 0.0713 0.0711 0.0893 0.0633 0.0347 0.0828 0.0233 0.0877 0.0525 0.0602 0.0707 0.074 0.0509 0.0248 0.0376 0.0097 0.0701 0.0748 0.0116 0.0926 0.059 0.0923 0.0792 0.026 0.0656 0.0861 0.0202 0.0816 0.0722 0.083 0.073 0.0794 0.0759 0.0316 0.0256 0.0581 0.0638 0.0814 0.029 0.0648 0.0607 0.0954 0.0747 0.0339 0.0364 0.0373 0.1007 0.011 0.086 0.0799 0.08 0.055 0.0696 0.0418 0.0077 0.0678 0.0342 0.0725 0.0743 0.0795 0.0119 0.0229 0.0683 0.1026 0.0858 0.0723 0.0214 0.0707 0.0719 0.048 0.0418 0.0605 0.0779 0.0827 0.0691 0.0652 0.078 0.0761 0.0885 0.0967 0.0821 0.073 0.0795 0.0622 
