           0.05         0.0169          0.025         0.0107         0.0197           0.02          0.034         0.0264         0.0178         0.0109         0.0256         0.0296          0.019         0.0248         0.0098          0.018         0.0097         0.0287         0.0402         0.0123         0.0233
           0.15         0.0056         0.0179         0.0261         0.0113         0.0007         0.0366           0.02          0.013         0.0103         0.0126        -0.0085         0.0337         0.0154         0.0233         0.0238         0.0281         0.0149         0.0176         0.0231         0.0302
           0.25         0.0088         0.0254         0.0244         0.0102         0.0014         0.0308         0.0125         0.0155         0.0298         0.0184         0.0314         0.0218         0.0145          0.022         0.0287         0.0251        -0.0033         0.0252          0.002         0.0218
           0.35         0.0204         0.0147         0.0278         0.0141         0.0197         0.0078         0.0234         0.0166         0.0138         0.0227         0.0209         0.0079         0.0198         0.0278         0.0152         0.0208         0.0159         0.0175         0.0108         0.0173
           0.45         0.0061         0.0116         0.0016        -0.0055        -0.0022         0.0102         0.0015         0.0058         0.0131        -0.0014         0.0271         0.0125         0.0238         0.0014         0.0056         0.0201         0.0266         0.0119         0.0122        -0.0034
           0.55         0.0038         0.0155         0.0058         0.0048         0.0133         0.0032         0.0155         0.0076         0.0156         0.0141         0.0173         0.0135         0.0103         0.0096         0.0099         0.0065         0.0125         0.0046         0.0077        -0.0058
           0.65          0.001        -0.0152         0.0028         0.0098        -0.0079         0.0073         0.0054         0.0021         0.0079         -0.001        -0.0042         0.0108         0.0041         0.0011         0.0044         0.0056         0.0167         0.0155         0.0047        -0.0078
           0.75        -0.0083         0.0037         0.0051         -0.003        -0.0004              0         0.0059         0.0094        -0.0005        -0.0083        -0.0068        -0.0045         0.0076         0.0128        -0.0004         0.0071         0.0014        -0.0043         0.0112          0.006
           0.85        -0.0006         0.0078         0.0021         0.0084         0.0018          0.005         0.0035        -0.0028         0.0003        -0.0007         0.0027         0.0108         -0.002         0.0007          0.002         0.0029         -0.001          0.002         0.0052        -0.0019
           0.95         0.0008         0.0003         0.0014         0.0024        -0.0043         0.0028        -0.0025        -0.0023         0.0018         0.0111        -0.0014           0.01        -0.0023        -0.0015         0.0023         0.0016        -0.0033         -0.002        -0.0012        -0.0038
           1.05        -0.0036         0.0049         0.0006        -0.0021          0.002         -0.009         0.0057         0.0024        -0.0012         0.0039         0.0006         -0.001        -0.0052        -0.0035        -0.0009        -0.0035        -0.0078        -0.0035        -0.0003        -0.0042
           1.15        -0.0034         0.0002        -0.0015         0.0006        -0.0005        -0.0058         0.0024        -0.0026             -0        -0.0011        -0.0001         0.0039         0.0012          0.001          0.002        -0.0027        -0.0026        -0.0016         0.0023         0.0033
           1.25        -0.0001        -0.0004        -0.0004        -0.0002         0.0001        -0.0008         0.0016        -0.0006        -0.0018        -0.0007         0.0003        -0.0006        -0.0009         0.0011         0.0021        -0.0012         0.0001         0.0002        -0.0008         0.0001
           1.35        -0.0008        -0.0002         0.0006         0.0004        -0.0004              0        -0.0003         0.0002         0.0005         0.0004              0              0         0.0001         0.0002              0        -0.0005              0         0.0004              0              0
           1.45              0              0         0.0013              0              0              0              0              0              0         0.0003        -0.0005              0              0              0         0.0002              0              0              0        -0.0005              0
           1.55              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0
           1.65              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0
           1.75              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0
