# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0660907 -----------------
#dely    BF    dB     BFVar
0.050  0.1076  0.0011  0.0111
0.150  0.0949  0.0010  0.0053
0.250  0.0843  0.0010  0.0058
0.350  0.0812  0.0010  0.0042
0.450  0.0730  0.0010  0.0033
0.550  0.0596  0.0009  0.0052
0.650  0.0513  0.0009  0.0039
0.750  0.0349  0.0007  0.0023
0.850  0.0267  0.0006  0.0024
0.950  0.0205  0.0006  0.0024
1.050  0.0134  0.0005  0.0026
1.150  0.0086  0.0004  0.0039
1.250  0.0032  0.0002  0.0005
1.350  0.0016  0.0002  0.0004
1.450  0.0001  0.0000  0.0000
1.550 -0.0000 -0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
