# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0 -----------------
#dely    BF_mean   BF_sq    BF_var    Samples
0.750   0.1646  0.0271  0.0035 14000000
0.850   0.1220  0.0149  0.0015 14000000
0.950   0.0879  0.0077  0.0020 14000000
1.050   0.0606  0.0037  0.0028 14000000
1.150   0.0390  0.0015  0.0020 14000000
1.250   0.0237  0.0006  0.0017 14000000
1.350   0.0137  0.0002  0.0005 14000000
1.450   0.0066  0.0000  0.0004 14000000
1.550   0.0025  0.0000  0.0023 14000000
1.650   0.0005  0.0000  0.0002 14000000
1.750  -0.0002  0.0000  0.0001 14000000
0.050   0.5432  0.2951  0.0048 16000000
0.150   0.4992  0.2493  0.0031 16000000
0.250   0.4450  0.1980  0.0051 16000000
0.350   0.3830  0.1467  0.0055 16000000
0.450   0.3271  0.1070  0.0046 16000000
0.550   0.2649  0.0702  0.0030 16000000
0.650   0.2121  0.0450  0.0014 16000000
0.750   0.1645  0.0271  0.0032 16000000
0.850   0.1221  0.0149  0.0014 16000000
0.950   0.0880  0.0077  0.0019 16000000
1.050   0.0606  0.0037  0.0026 16000000
1.150   0.0390  0.0015  0.0019 16000000
1.250   0.0237  0.0006  0.0016 16000000
1.350   0.0137  0.0002  0.0005 16000000
1.450   0.0065  0.0000  0.0004 16000000
1.550   0.0025  0.0000  0.0022 16000000
1.650   0.0005  0.0000  0.0002 16000000
1.750  -0.0002  0.0000  0.0001 16000000
0.050   0.5428  0.2947  0.0046 18000000
0.150   0.4992  0.2492  0.0029 18000000
0.250   0.4450  0.1980  0.0048 18000000
0.350   0.3833  0.1469  0.0052 18000000
0.450   0.3271  0.1070  0.0043 18000000
0.550   0.2650  0.0702  0.0028 18000000
0.650   0.2121  0.0450  0.0014 18000000
0.750   0.1644  0.0271  0.0031 18000000
0.850   0.1221  0.0149  0.0013 18000000
0.950   0.0880  0.0077  0.0018 18000000
1.050   0.0606  0.0037  0.0025 18000000
1.150   0.0390  0.0015  0.0018 18000000
1.250   0.0237  0.0006  0.0015 18000000
1.350   0.0136  0.0002  0.0005 18000000
1.450   0.0065  0.0000  0.0004 18000000
1.550   0.0024  0.0000  0.0021 18000000
1.650   0.0005  0.0000  0.0002 18000000
1.750  -0.0002  0.0000  0.0001 18000000
0.050   0.5425  0.2944  0.0044 20000000
0.150   0.4991  0.2491  0.0028 20000000
0.250   0.4450  0.1981  0.0045 20000000
0.350   0.3835  0.1471  0.0050 20000000
0.450   0.3270  0.1070  0.0041 20000000
0.550   0.2650  0.0702  0.0027 20000000
0.650   0.2120  0.0450  0.0013 20000000
0.750   0.1644  0.0270  0.0029 20000000
0.850   0.1221  0.0149  0.0013 20000000
0.950   0.0880  0.0078  0.0017 20000000
1.050   0.0606  0.0037  0.0024 20000000
1.150   0.0391  0.0015  0.0017 20000000
1.250   0.0237  0.0006  0.0014 20000000
1.350   0.0136  0.0002  0.0005 20000000
1.450   0.0065  0.0000  0.0004 20000000
1.550   0.0024  0.0000  0.0020 20000000
1.650   0.0005  0.0000  0.0002 20000000
1.750  -0.0002  0.0000  0.0001 20000000
