! kt  lambda  Rout  Routlab Rside   Rlong
  50.0 0.2745  6.263  5.897  5.306 14.699  1.111
 100.0 0.3147  7.783  6.326  5.031 12.272  1.258
 150.0 0.3759  9.516  6.482  4.680 10.198  1.385
 200.0 0.4403 11.272  6.451  4.402  8.756  1.465
 250.0 0.5045 13.111  6.391  4.146  7.694  1.541
 300.0 0.5563 14.778  6.233  3.931  6.867  1.586
 350.0 0.6067 16.475  6.102  3.755  6.291  1.625
 400.0 0.6438 18.077  5.955  3.632  5.759  1.640
 450.0 0.6798 19.563  5.795  3.547  5.328  1.634
 500.0 0.6927 21.171  5.692  3.404  5.036  1.672
