# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0524089 -----------------
#dely    BF    dB     BFVar
0.050  0.0801  0.0011  0.0048
0.150  0.0754  0.0010  0.0150
0.250  0.0697  0.0010  0.0036
0.350  0.0616  0.0009  0.0109
0.450  0.0551  0.0009  0.0044
0.550  0.0448  0.0008  0.0033
0.650  0.0397  0.0008  0.0036
0.750  0.0310  0.0007  0.0037
0.850  0.0250  0.0006  0.0053
0.950  0.0190  0.0005  0.0017
1.050  0.0107  0.0004  0.0009
1.150  0.0073  0.0003  0.0014
1.250  0.0034  0.0002  0.0005
1.350  0.0012  0.0001  0.0002
1.450  0.0003  0.0000  0.0003
1.550  0.0000  0.0000  0.0001
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
