# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0311689 -----------------
#dely    BF
0.050 -0.0396 -0.0000
0.150 -0.0392 -0.0000
0.250 -0.0349 -0.0000
0.350 -0.0325 -0.0000
0.450 -0.0285 -0.0000
0.550 -0.0274 -0.0000
0.650 -0.0219 -0.0000
0.750 -0.0192 -0.0000
0.850 -0.0162 -0.0000
0.950 -0.0151 -0.0000
1.050 -0.0115 -0.0000
1.150 -0.0091 -0.0000
1.250 -0.0074 -0.0000
1.350 -0.0059 -0.0000
1.450 -0.0030 -0.0000
1.550 -0.0008 -0.0000
1.650  0.0002  0.0000
1.750  0.0002  0.0000
