# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.232442 -----------------
#dely    BF    dB     BFVar
0.050  0.2776  0.0002  0.0025
0.150  0.2649  0.0002  0.0021
0.250  0.2515  0.0002  0.0029
0.350  0.2367  0.0002  0.0017
0.450  0.2239  0.0002  0.0029
0.550  0.2062  0.0002  0.0018
0.650  0.1843  0.0002  0.0028
0.750  0.1621  0.0002  0.0019
0.850  0.1370  0.0001  0.0014
0.950  0.1128  0.0001  0.0022
1.050  0.0887  0.0001  0.0028
1.150  0.0674  0.0001  0.0044
1.250  0.0476  0.0001  0.0012
1.350  0.0321  0.0001  0.0007
1.450  0.0193  0.0000  0.0008
1.550  0.0095  0.0000  0.0008
1.650  0.0025  0.0000  0.0001
1.750  0.0002  0.0000  0.0001
