# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.258148 -----------------
#dely    BF    dB     BFVar
0.050  0.3953  0.0002  0.0043
0.150  0.3646  0.0001  0.0044
0.250  0.3310  0.0001  0.0028
0.350  0.2930  0.0001  0.0043
0.450  0.2546  0.0001  0.0035
0.550  0.2147  0.0001  0.0036
0.650  0.1796  0.0001  0.0023
0.750  0.1456  0.0001  0.0026
0.850  0.1161  0.0001  0.0018
0.950  0.0893  0.0001  0.0013
1.050  0.0667  0.0001  0.0008
1.150  0.0488  0.0001  0.0021
1.250  0.0337  0.0000  0.0018
1.350  0.0226  0.0000  0.0008
1.450  0.0135  0.0000  0.0003
1.550  0.0076  0.0000  0.0014
1.650  0.0038  0.0000  0.0002
1.750  0.0010  0.0000  0.0002
