# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0090455 -----------------
#dely    BF    dB     BFVar
0.050 -0.0069 -0.0001  0.0086
0.150 -0.0042 -0.0000  0.0061
0.250 -0.0030 -0.0000  0.0065
0.350 -0.0103 -0.0001  0.0115
0.450 -0.0126 -0.0002  0.0079
0.550 -0.0105 -0.0002  0.0065
0.650 -0.0128 -0.0002  0.0300
0.750 -0.0075 -0.0001  0.0023
0.850 -0.0078 -0.0002  0.0024
0.950 -0.0075 -0.0002  0.0013
1.050 -0.0046 -0.0002  0.0017
1.150 -0.0022 -0.0001  0.0011
1.250 -0.0002 -0.0000  0.0016
1.350 -0.0003 -0.0000  0.0002
1.450 -0.0001 -0.0000  0.0001
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
