# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.25
# ------- normalization=-0.0206639 -----------------
#dely    BF
0.050 -0.1440 -0.0052
0.150 -0.0931 -0.0036
0.250 -0.0647 -0.0027
0.350 -0.0598 -0.0028
0.450 -0.0183 -0.0010
0.550  0.0059  0.0003
0.650  0.0257  0.0017
0.750  0.0322  0.0023
0.850  0.0339  0.0032
0.950  0.0314  0.0031
1.050  0.0186  0.0023
1.150  0.0122  0.0023
1.250  0.0046  0.0012
1.350  0.0081  0.0021
1.450  0.0007  0.0002
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
