# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=10000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.173169 -----------------
#dely    BF
0.050  0.3083  0.0003
0.150  0.2850  0.0002
0.250  0.2518  0.0002
0.350  0.2166  0.0002
0.450  0.1855  0.0002
0.550  0.1481  0.0002
0.650  0.1168  0.0001
0.750  0.0856  0.0001
0.850  0.0604  0.0001
0.950  0.0396  0.0001
1.050  0.0233  0.0000
1.150  0.0114  0.0000
1.250  0.0043  0.0000
1.350 -0.0004 -0.0000
1.450 -0.0015 -0.0000
1.550 -0.0018 -0.0000
1.650 -0.0012 -0.0000
1.750 -0.0001 -0.0000
