# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0181202 -----------------
#dely    BF    dB     BFVar
0.050 -0.0640 -0.0002  0.0026
0.150 -0.0494 -0.0002  0.0027
0.250 -0.0220 -0.0001  0.0030
0.350  0.0044  0.0000  0.0037
0.450  0.0282  0.0001  0.0023
0.550  0.0447  0.0002  0.0030
0.650  0.0499  0.0002  0.0022
0.750  0.0503  0.0003  0.0041
0.850  0.0447  0.0003  0.0017
0.950  0.0364  0.0003  0.0019
1.050  0.0254  0.0002  0.0016
1.150  0.0167  0.0002  0.0009
1.250  0.0095  0.0001  0.0004
1.350  0.0045  0.0001  0.0004
1.450  0.0016  0.0000  0.0003
1.550  0.0003  0.0000  0.0001
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
