# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0751256 -----------------
#dely    BF    dB     BFVar
0.050 -0.1449 -0.0005  0.0027
0.150 -0.1346 -0.0004  0.0035
0.250 -0.1148 -0.0004  0.0038
0.350 -0.0928 -0.0004  0.0028
0.450 -0.0710 -0.0003  0.0033
0.550 -0.0548 -0.0003  0.0019
0.650 -0.0419 -0.0002  0.0025
0.750 -0.0304 -0.0002  0.0016
0.850 -0.0227 -0.0002  0.0009
0.950 -0.0168 -0.0001  0.0011
1.050 -0.0118 -0.0001  0.0015
1.150 -0.0075 -0.0001  0.0004
1.250 -0.0044 -0.0001  0.0004
1.350 -0.0019 -0.0000  0.0004
1.450 -0.0007 -0.0000  0.0003
1.550 -0.0002 -0.0000  0.0000
1.650 -0.0000 -0.0000  0.0000
1.750  0.0000  0.0000  0.0000
