# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0184761 -----------------
#dely    BF    dB     BFVar
0.050 -0.0009 -0.0000  0.0036
0.150  0.0013  0.0000  0.0020
0.250  0.0061  0.0000  0.0010
0.350  0.0117  0.0000  0.0013
0.450  0.0154  0.0001  0.0020
0.550  0.0200  0.0001  0.0009
0.650  0.0227  0.0001  0.0014
0.750  0.0229  0.0001  0.0007
0.850  0.0226  0.0001  0.0009
0.950  0.0196  0.0001  0.0006
1.050  0.0165  0.0001  0.0006
1.150  0.0122  0.0001  0.0007
1.250  0.0082  0.0001  0.0003
1.350  0.0043  0.0001  0.0003
1.450  0.0017  0.0000  0.0002
1.550  0.0004  0.0000  0.0001
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
