# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.111935 -----------------
#dely    BF
0.050 -0.1425 -0.0002
0.150 -0.1356 -0.0002
0.250 -0.1222 -0.0002
0.350 -0.1117 -0.0002
0.450 -0.0998 -0.0001
0.550 -0.0882 -0.0001
0.650 -0.0750 -0.0001
0.750 -0.0662 -0.0001
0.850 -0.0594 -0.0001
0.950 -0.0517 -0.0001
1.050 -0.0440 -0.0001
1.150 -0.0378 -0.0001
1.250 -0.0316 -0.0001
1.350 -0.0235 -0.0001
1.450 -0.0163 -0.0001
1.550 -0.0097 -0.0001
1.650 -0.0037 -0.0000
1.750 -0.0003 -0.0000
