# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.034473 -----------------
#dely    BF    dB     BFVar
0.050 -0.0054 -0.0000  0.0038
0.150  0.0010  0.0000  0.0034
0.250  0.0090  0.0000  0.0050
0.350  0.0193  0.0000  0.0015
0.450  0.0294  0.0000  0.0030
0.550  0.0365  0.0000  0.0020
0.650  0.0400  0.0000  0.0012
0.750  0.0390  0.0000  0.0019
0.850  0.0380  0.0000  0.0015
0.950  0.0341  0.0000  0.0016
1.050  0.0286  0.0000  0.0008
1.150  0.0238  0.0000  0.0007
1.250  0.0190  0.0000  0.0008
1.350  0.0143  0.0000  0.0007
1.450  0.0100  0.0000  0.0016
1.550  0.0058  0.0000  0.0004
1.650  0.0021  0.0000  0.0001
1.750  0.0002  0.0000  0.0000
