# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.152254 -----------------
#dely    BF    dB     BFVar
0.050  0.1698  0.0001  0.0030
0.150  0.1589  0.0001  0.0050
0.250  0.1466  0.0001  0.0027
0.350  0.1447  0.0001  0.0028
0.450  0.1364  0.0001  0.0037
0.550  0.1265  0.0001  0.0030
0.650  0.1151  0.0001  0.0024
0.750  0.1061  0.0001  0.0015
0.850  0.0929  0.0001  0.0020
0.950  0.0799  0.0001  0.0021
1.050  0.0671  0.0001  0.0008
1.150  0.0542  0.0001  0.0012
1.250  0.0427  0.0001  0.0010
1.350  0.0325  0.0001  0.0005
1.450  0.0229  0.0000  0.0008
1.550  0.0152  0.0000  0.0004
1.650  0.0084  0.0000  0.0003
1.750  0.0026  0.0000  0.0002
