# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.139206 -----------------
#dely    BF    dB     BFVar
0.050  0.4163  0.0037  0.0252
0.150  0.3382  0.0032  0.0204
0.250  0.2467  0.0024  0.0188
0.350  0.1598  0.0017  0.0077
0.450  0.0926  0.0011  0.0063
0.550  0.0588  0.0008  0.0156
0.650  0.0291  0.0005  0.0036
0.750  0.0181  0.0004  0.0071
0.850  0.0134  0.0003  0.0027
0.950  0.0078  0.0002  0.0012
1.050  0.0051  0.0002  0.0011
1.150  0.0035  0.0002  0.0012
1.250  0.0018  0.0001  0.0004
1.350  0.0007  0.0001  0.0005
1.450  0.0001  0.0000  0.0001
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
