# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0643726 -----------------
#dely    BF    dB     BFVar
0.050  0.1006  0.0001  0.0024
0.150  0.0927  0.0000  0.0018
0.250  0.0838  0.0000  0.0014
0.350  0.0761  0.0000  0.0020
0.450  0.0665  0.0000  0.0024
0.550  0.0563  0.0000  0.0014
0.650  0.0466  0.0000  0.0013
0.750  0.0376  0.0000  0.0015
0.850  0.0291  0.0000  0.0012
0.950  0.0219  0.0000  0.0007
1.050  0.0145  0.0000  0.0012
1.150  0.0094  0.0000  0.0006
1.250  0.0052  0.0000  0.0006
1.350  0.0027  0.0000  0.0005
1.450  0.0009  0.0000  0.0007
1.550  0.0000  0.0000  0.0004
1.650 -0.0001 -0.0000  0.0001
1.750 -0.0001 -0.0000  0.0001
