! ptbar_pion= 0.4069  ptbar_kaon= 0.6933  ptbar_proton= 0.9841
!   mt      pions       kaons      protons
0.0125  1.176e+03  2.823e+01  9.128e+00
0.0375  9.337e+02  2.663e+01  8.792e+00
0.0625  7.554e+02  2.509e+01  8.471e+00
0.0875  6.165e+02  2.343e+01  8.139e+00
0.1125  5.105e+02  2.157e+01  7.824e+00
0.1375  4.251e+02  2.006e+01  7.458e+00
0.1625  3.545e+02  1.848e+01  7.110e+00
0.1875  2.989e+02  1.702e+01  6.845e+00
0.2125  2.541e+02  1.561e+01  6.459e+00
0.2375  2.168e+02  1.413e+01  6.085e+00
0.2625  1.854e+02  1.299e+01  5.805e+00
0.2875  1.591e+02  1.189e+01  5.471e+00
0.3125  1.371e+02  1.082e+01  5.255e+00
0.3375  1.194e+02  9.863e+00  4.856e+00
0.3625  1.041e+02  9.061e+00  4.571e+00
0.3875  9.032e+01  8.176e+00  4.281e+00
0.4125  7.909e+01  7.494e+00  4.055e+00
0.4375  6.963e+01  6.801e+00  3.804e+00
0.4625  6.123e+01  6.191e+00  3.553e+00
0.4875  5.405e+01  5.624e+00  3.350e+00
0.5125  4.776e+01  5.108e+00  3.140e+00
0.5375  4.228e+01  4.710e+00  2.922e+00
0.5625  3.739e+01  4.283e+00  2.742e+00
0.5875  3.335e+01  3.864e+00  2.573e+00
0.6125  2.971e+01  3.595e+00  2.363e+00
0.6375  2.678e+01  3.264e+00  2.215e+00
0.6625  2.364e+01  2.978e+00  2.091e+00
0.6875  2.131e+01  2.696e+00  1.938e+00
0.7125  1.897e+01  2.474e+00  1.808e+00
0.7375  1.709e+01  2.285e+00  1.682e+00
0.7625  1.523e+01  2.068e+00  1.561e+00
0.7875  1.387e+01  1.907e+00  1.430e+00
0.8125  1.252e+01  1.770e+00  1.330e+00
0.8375  1.129e+01  1.573e+00  1.240e+00
0.8625  1.020e+01  1.448e+00  1.140e+00
0.8875  9.160e+00  1.324e+00  1.085e+00
0.9125  8.342e+00  1.210e+00  9.936e-01
0.9375  7.509e+00  1.102e+00  9.297e-01
0.9625  6.756e+00  1.030e+00  8.597e-01
0.9875  6.173e+00  9.381e-01  8.063e-01
