! ptbar_pion= 0.4294  ptbar_kaon= 0.6987  ptbar_proton= 1.0525
!   mt      pions       kaons      protons
0.0125  8.429e+02  3.615e+01  4.221e+00
0.0375  6.920e+02  3.381e+01  4.182e+00
0.0625  5.753e+02  3.200e+01  4.063e+00
0.0875  4.758e+02  2.947e+01  4.061e+00
0.1125  4.001e+02  2.775e+01  3.872e+00
0.1375  3.363e+02  2.554e+01  3.871e+00
0.1625  2.863e+02  2.367e+01  3.688e+00
0.1875  2.436e+02  2.183e+01  3.534e+00
0.2125  2.082e+02  2.007e+01  3.458e+00
0.2375  1.801e+02  1.830e+01  3.266e+00
0.2625  1.552e+02  1.679e+01  3.189e+00
0.2875  1.331e+02  1.535e+01  3.044e+00
0.3125  1.154e+02  1.433e+01  2.932e+00
0.3375  1.014e+02  1.288e+01  2.754e+00
0.3625  8.875e+01  1.182e+01  2.666e+00
0.3875  7.796e+01  1.081e+01  2.490e+00
0.4125  6.811e+01  9.608e+00  2.394e+00
0.4375  6.036e+01  8.897e+00  2.307e+00
0.4625  5.335e+01  8.190e+00  2.150e+00
0.4875  4.708e+01  7.450e+00  2.001e+00
0.5125  4.180e+01  6.693e+00  1.890e+00
0.5375  3.715e+01  6.179e+00  1.802e+00
0.5625  3.318e+01  5.696e+00  1.700e+00
0.5875  2.976e+01  5.152e+00  1.608e+00
0.6125  2.664e+01  4.642e+00  1.454e+00
0.6375  2.384e+01  4.316e+00  1.451e+00
0.6625  2.130e+01  3.946e+00  1.299e+00
0.6875  1.899e+01  3.621e+00  1.233e+00
0.7125  1.707e+01  3.308e+00  1.163e+00
0.7375  1.555e+01  2.979e+00  1.082e+00
0.7625  1.395e+01  2.752e+00  1.017e+00
0.7875  1.243e+01  2.457e+00  9.606e-01
0.8125  1.138e+01  2.271e+00  8.866e-01
0.8375  1.012e+01  2.093e+00  7.974e-01
0.8625  9.381e+00  1.897e+00  7.751e-01
0.8875  8.422e+00  1.753e+00  7.186e-01
0.9125  7.673e+00  1.576e+00  6.874e-01
0.9375  6.898e+00  1.455e+00  6.081e-01
0.9625  6.266e+00  1.373e+00  5.815e-01
0.9875  5.693e+00  1.228e+00  5.486e-01
1.0125  5.195e+00  1.146e+00  4.964e-01
1.0375  4.626e+00  1.023e+00  4.579e-01
1.0625  4.248e+00  9.465e-01  4.193e-01
1.0875  3.920e+00  8.410e-01  4.160e-01
1.1125  3.475e+00  8.497e-01  3.778e-01
1.1375  3.225e+00  7.645e-01  3.475e-01
1.1625  2.922e+00  6.682e-01  3.267e-01
1.1875  2.604e+00  5.948e-01  3.026e-01
1.2125  2.453e+00  5.784e-01  2.737e-01
