# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.384316 -----------------
#dely    BF
0.050  0.6642  0.0009
0.150  0.6149  0.0008
0.250  0.5458  0.0008
0.350  0.4737  0.0007
0.450  0.3953  0.0006
0.550  0.3208  0.0005
0.650  0.2539  0.0004
0.750  0.1922  0.0004
0.850  0.1406  0.0003
0.950  0.0977  0.0002
1.050  0.0648  0.0002
1.150  0.0403  0.0001
1.250  0.0229  0.0001
1.350  0.0108  0.0000
1.450  0.0047  0.0000
1.550  0.0008  0.0000
1.650 -0.0002 -0.0000
1.750 -0.0001 -0.0000
