# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.034291 -----------------
#dely    BF
0.050 -0.0186 -0.0001
0.150 -0.0217 -0.0001
0.250 -0.0285 -0.0002
0.350 -0.0355 -0.0003
0.450 -0.0398 -0.0003
0.550 -0.0403 -0.0004
0.650 -0.0383 -0.0004
0.750 -0.0341 -0.0004
0.850 -0.0282 -0.0004
0.950 -0.0213 -0.0004
1.050 -0.0155 -0.0003
1.150 -0.0110 -0.0003
1.250 -0.0061 -0.0002
1.350 -0.0029 -0.0001
1.450 -0.0009 -0.0001
1.550 -0.0003 -0.0000
1.650 -0.0000 -0.0000
1.750  0.0000  0.0000
