# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0116556 -----------------
#dely    BF    dB     BFVar
0.050 -0.0169 -0.0001  0.0067
0.150 -0.0095 -0.0001  0.0035
0.250  0.0029  0.0000  0.0016
0.350  0.0153  0.0001  0.0020
0.450  0.0222  0.0002  0.0014
0.550  0.0226  0.0002  0.0024
0.650  0.0207  0.0002  0.0021
0.750  0.0177  0.0002  0.0015
0.850  0.0140  0.0002  0.0010
0.950  0.0114  0.0002  0.0009
1.050  0.0074  0.0001  0.0011
1.150  0.0046  0.0001  0.0007
1.250  0.0023  0.0001  0.0005
1.350  0.0014  0.0001  0.0003
1.450  0.0003  0.0000  0.0001
1.550  0.0001  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
