 InvCoshPar_uu_width InvCoshPar_ud_width InvCoshPar_us_width InvCoshPar_ss_width
 0.584758 0.556613 0.958152 1.11328
 0.693521 0.632581 1.02697 1.12735
 0.674898 0.496067 1.03139 1.24204
 0.704384 0.639945 0.982501 1.17661
 0.710758 0.593347 1.04366 1.08646
 0.76989 0.506725 1.06384 1.25921
 0.68224 0.588541 0.963229 1.13129
 0.589739 0.455313 0.978863 1.15175
 0.68732 0.56159 1.07804 1.04179
 0.7862 0.531287 0.970092 1.14632
 0.656798 0.49621 0.988195 1.18284
 0.608924 0.648494 1.05643 1.20901
 0.696537 0.506954 0.996884 1.1351
 0.568052 0.555112 0.969433 1.24915
 0.592331 0.570216 0.991423 1.18098
 0.677677 0.518205 1.00981 1.11292
 0.587037 0.512725 1.05073 1.16777
 0.741886 0.846774 1.13365 1.14173
 0.651716 0.521163 1.02237 1.14888
 0.571224 0.628075 0.949073 1.14011
