# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0785428 -----------------
#dely    BF    dB     BFVar
0.050  0.1315  0.0015  0.0094
0.150  0.1183  0.0014  0.0089
0.250  0.1030  0.0013  0.0084
0.350  0.1009  0.0014  0.0151
0.450  0.0898  0.0013  0.0087
0.550  0.0648  0.0010  0.0120
0.650  0.0551  0.0010  0.0057
0.750  0.0470  0.0010  0.0086
0.850  0.0313  0.0007  0.0083
0.950  0.0226  0.0006  0.0054
1.050  0.0115  0.0004  0.0022
1.150  0.0059  0.0003  0.0008
1.250  0.0025  0.0001  0.0074
1.350  0.0011  0.0001  0.0004
1.450  0.0002  0.0000  0.0001
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
