# ICODE=2212, JCODE=-2212
# SIGMA_QGP=0.25, SIGMA_HAD=0.25
# NSAMPLE=1000000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.65
# ------- normalization=0.146022 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3405  0.0003  0.3890 -0.0485  0.0000
0.150  0.3075  0.0003  0.3512 -0.0437  0.0000
0.250  0.2551  0.0003  0.2914 -0.0362  0.0000
0.350  0.1980  0.0003  0.2255 -0.0275  0.0000
0.450  0.1414  0.0002  0.1609 -0.0195  0.0000
0.550  0.0952  0.0002  0.1080 -0.0128  0.0000
0.650  0.0592  0.0001  0.0671 -0.0079  0.0000
0.750  0.0337  0.0001  0.0381 -0.0044  0.0000
0.850  0.0173  0.0001  0.0195 -0.0022  0.0000
0.950  0.0081  0.0001  0.0090 -0.0010  0.0000
1.050  0.0031  0.0000  0.0034 -0.0004  0.0000
1.150  0.0010  0.0000  0.0011 -0.0001  0.0000
1.250  0.0002  0.0000  0.0002 -0.0000  0.0000
1.350  0.0000  0.0000  0.0000 -0.0000  0.0000
1.450  0.0000  0.0000  0.0000 -0.0000  0.0000
1.550  0.0000  0.0000  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
