# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.311667 -----------------
#dely    BF    dB     BFVar
0.050  0.3563  0.0002  0.0036
0.150  0.3382  0.0002  0.0032
0.250  0.3181  0.0002  0.0030
0.350  0.3014  0.0002  0.0030
0.450  0.2805  0.0002  0.0042
0.550  0.2583  0.0002  0.0032
0.650  0.2354  0.0002  0.0049
0.750  0.2092  0.0002  0.0044
0.850  0.1837  0.0002  0.0032
0.950  0.1581  0.0001  0.0023
1.050  0.1317  0.0001  0.0025
1.150  0.1068  0.0001  0.0019
1.250  0.0831  0.0001  0.0015
1.350  0.0629  0.0001  0.0035
1.450  0.0441  0.0001  0.0010
1.550  0.0288  0.0001  0.0009
1.650  0.0156  0.0000  0.0008
1.750  0.0045  0.0000  0.0003
