# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0 -----------------
#dely    BF_mean   BF_sq    BF_var    Samples
0.050   0.1056  0.0113  0.0109 2000000
0.150   0.1062  0.0113  0.0072 2000000
0.250   0.1022  0.0105  0.0079 2000000
0.350   0.0897  0.0081  0.0075 2000000
0.450   0.0968  0.0094  0.0073 2000000
0.550   0.0917  0.0084  0.0057 2000000
0.650   0.0944  0.0089  0.0052 2000000
0.750   0.0859  0.0074  0.0034 2000000
0.850   0.0747  0.0056  0.0058 2000000
0.950   0.0638  0.0041  0.0051 2000000
1.050   0.0587  0.0035  0.0056 2000000
1.150   0.0478  0.0023  0.0059 2000000
1.250   0.0387  0.0015  0.0055 2000000
1.350   0.0273  0.0008  0.0038 2000000
1.450   0.0220  0.0005  0.0031 2000000
1.550   0.0138  0.0002  0.0029 2000000
1.650   0.0085  0.0001  0.0030 2000000
1.750   0.0014  0.0000  0.0007 2000000
0.050   0.1060  0.0113  0.0077 4000000
0.150   0.1042  0.0109  0.0055 4000000
0.250   0.1012  0.0103  0.0057 4000000
0.350   0.0934  0.0088  0.0065 4000000
0.450   0.0967  0.0094  0.0051 4000000
0.550   0.0912  0.0083  0.0041 4000000
0.650   0.0937  0.0088  0.0037 4000000
0.750   0.0852  0.0073  0.0025 4000000
0.850   0.0748  0.0056  0.0041 4000000
0.950   0.0644  0.0042  0.0037 4000000
1.050   0.0584  0.0034  0.0040 4000000
1.150   0.0486  0.0024  0.0042 4000000
1.250   0.0385  0.0015  0.0039 4000000
1.350   0.0277  0.0008  0.0027 4000000
1.450   0.0223  0.0005  0.0022 4000000
1.550   0.0137  0.0002  0.0021 4000000
1.650   0.0082  0.0001  0.0022 4000000
1.750   0.0018  0.0000  0.0007 4000000
0.050   0.1062  0.0113  0.0063 6000000
0.150   0.1030  0.0106  0.0048 6000000
0.250   0.1008  0.0102  0.0047 6000000
0.350   0.0951  0.0091  0.0058 6000000
0.450   0.0967  0.0094  0.0042 6000000
0.550   0.0915  0.0084  0.0034 6000000
0.650   0.0930  0.0087  0.0032 6000000
0.750   0.0849  0.0072  0.0021 6000000
0.850   0.0749  0.0056  0.0034 6000000
0.950   0.0650  0.0042  0.0032 6000000
1.050   0.0585  0.0034  0.0033 6000000
1.150   0.0487  0.0024  0.0035 6000000
1.250   0.0384  0.0015  0.0032 6000000
1.350   0.0280  0.0008  0.0023 6000000
1.450   0.0221  0.0005  0.0018 6000000
1.550   0.0136  0.0002  0.0017 6000000
1.650   0.0081  0.0001  0.0018 6000000
1.750   0.0020  0.0000  0.0006 6000000
0.050   0.1064  0.0113  0.0055 8000000
0.150   0.1026  0.0105  0.0042 8000000
0.250   0.1002  0.0101  0.0042 8000000
0.350   0.0959  0.0092  0.0052 8000000
0.450   0.0969  0.0094  0.0037 8000000
0.550   0.0915  0.0084  0.0029 8000000
0.650   0.0923  0.0085  0.0030 8000000
0.750   0.0848  0.0072  0.0019 8000000
0.850   0.0750  0.0056  0.0029 8000000
0.950   0.0655  0.0043  0.0029 8000000
1.050   0.0586  0.0034  0.0028 8000000
1.150   0.0487  0.0024  0.0030 8000000
