# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0998153 -----------------
#dely    BF
0.050  0.5467  0.0798
0.150 -0.0944 -0.0155
0.250 -0.2543 -0.0326
0.350 -0.0643 -0.0122
0.450 -0.1606 -0.0280
0.550 -0.0236 -0.0048
0.650  0.0819  0.0193
0.750  0.2336  0.0604
0.850  0.5012  0.1592
0.950  0.1431  0.0585
1.050  0.0158  0.0060
1.150 -0.0015 -0.0008
1.250  0.0745  0.0430
1.350  0.0000  0.0000
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
