! kt  lambda  Rout  Routlab Rside   Rlong
  50.0 0.3610  8.499  8.001  7.764 14.889  1.031
 100.0 0.4000  9.584  7.790  7.270 12.637  1.072
 150.0 0.4316 10.922  7.440  6.853 10.532  1.086
 200.0 0.4667 12.177  6.968  6.314  8.906  1.104
 250.0 0.4938 13.504  6.582  5.812  7.719  1.133
 300.0 0.5190 14.639  6.175  5.418  6.787  1.140
 350.0 0.5388 15.675  5.806  5.090  5.946  1.141
 400.0 0.5664 16.912  5.572  4.819  5.361  1.156
 450.0 0.5851 17.675  5.236  4.535  4.899  1.155
 500.0 0.5985 18.753  5.042  4.358  4.522  1.157
