Enter qualifer : 
bool AEQUALB true
double DELPT 5
double MA 139.57
double MB 139.57
int NEVENTSMAX 4000
int NMAX 120000
string OSCARfilename /Users/scottepratt/data/bb/oscar.dat
double PHIMAX_DEG 360
double PHIMIN_DEG -360
double PT 600
double YMAX 10
double YMIN -10
____________ Calculating S for kt = 50 __________________
Opening /Users/pratt/data/bb/B4/oscar.dat
OSCAR file read: 4000 events, na=43053, nb=43053
______ FINISHED CREATING MCLISTS ___________
bool XSYM 1 bool YSYM 1 bool ZSYM 1
int NXMAX 50 int NYMAX 50 int NZMAX 50
double DELX 1 double DELY 1 double DELZ 1
  0 | 4.292e-01 | 4.292e-01 | 4.292e-01 
  1 | 4.104e-01 | 4.131e-01 | 3.882e-01 
  2 | 3.832e-01 | 3.945e-01 | 3.345e-01 
  3 | 3.572e-01 | 3.661e-01 | 2.734e-01 
  4 | 3.310e-01 | 3.403e-01 | 2.174e-01 
  5 | 2.993e-01 | 3.173e-01 | 1.657e-01 
  6 | 2.682e-01 | 2.879e-01 | 1.235e-01 
  7 | 2.389e-01 | 2.608e-01 | 8.887e-02 
  8 | 2.080e-01 | 2.336e-01 | 6.286e-02 
  9 | 1.831e-01 | 2.085e-01 | 4.350e-02 
 10 | 1.566e-01 | 1.853e-01 | 2.992e-02 
 11 | 1.345e-01 | 1.616e-01 | 2.034e-02 
 12 | 1.109e-01 | 1.397e-01 | 1.353e-02 
 13 | 9.229e-02 | 1.212e-01 | 9.528e-03 
 14 | 7.534e-02 | 1.044e-01 | 6.124e-03 
 15 | 6.174e-02 | 8.758e-02 | 4.032e-03 
 16 | 4.776e-02 | 7.290e-02 | 2.640e-03 
 17 | 3.781e-02 | 6.131e-02 | 1.745e-03 
 18 | 2.926e-02 | 5.106e-02 | 1.295e-03 
 19 | 2.162e-02 | 4.079e-02 | 8.811e-04 
 20 | 1.618e-02 | 3.290e-02 | 5.995e-04 
 21 | 1.211e-02 | 2.624e-02 | 5.743e-04 
 22 | 8.275e-03 | 1.998e-02 | 3.699e-04 
 23 | 6.451e-03 | 1.548e-02 | 2.229e-04 
 24 | 4.179e-03 | 1.180e-02 | 9.971e-05 
 25 | 2.787e-03 | 8.619e-03 | 7.902e-05 
 26 | 1.683e-03 | 6.504e-03 | 6.654e-05 
 27 | 1.203e-03 | 4.656e-03 | 4.512e-05 
 28 | 6.144e-04 | 3.259e-03 | 2.610e-05 
 29 | 3.991e-04 | 2.135e-03 | 3.944e-05 
 30 | 2.226e-04 | 1.466e-03 | 4.184e-05 
 31 | 1.029e-04 | 9.485e-04 | 4.161e-05 
 32 | 3.244e-05 | 5.361e-04 | 5.231e-05 
 33 | 9.045e-06 | 3.066e-04 | -5.640e-06 
 34 | -1.872e-05 | 1.765e-04 | -4.584e-06 
 35 | 3.155e-07 | 6.655e-05 | -1.484e-05 
 36 | -4.079e-06 | 2.929e-05 | -9.364e-06 
