# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0285821 -----------------
#dely    BF    dB     BFVar
0.050 -0.0596 -0.0003  0.0026
0.150 -0.0522 -0.0003  0.0016
0.250 -0.0432 -0.0002  0.0028
0.350 -0.0322 -0.0002  0.0014
0.450 -0.0247 -0.0002  0.0023
0.550 -0.0188 -0.0002  0.0013
0.650 -0.0159 -0.0001  0.0013
0.750 -0.0113 -0.0001  0.0008
0.850 -0.0095 -0.0001  0.0007
0.950 -0.0071 -0.0001  0.0009
1.050 -0.0050 -0.0001  0.0010
1.150 -0.0036 -0.0001  0.0009
1.250 -0.0020 -0.0001  0.0009
1.350 -0.0006 -0.0000  0.0001
1.450 -0.0002 -0.0000  0.0001
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
