# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.25
# ------- normalization=0.226888 -----------------
#dely    BF
0.050  0.3347  0.0021
0.150  0.2695  0.0018
0.250  0.2513  0.0017
0.350  0.2523  0.0018
0.450  0.2413  0.0019
0.550  0.2058  0.0017
0.650  0.1445  0.0013
0.750  0.1685  0.0016
0.850  0.1159  0.0012
0.950  0.0814  0.0009
1.050  0.0720  0.0009
1.150  0.0409  0.0006
1.250  0.0427  0.0007
1.350  0.0275  0.0005
1.450  0.0124  0.0003
1.550  0.0031  0.0001
1.650  0.0058  0.0002
1.750 -0.0006 -0.0000
