# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.100425 -----------------
#dely    BF    dB     BFVar
0.050  0.2174  0.0024  0.0077
0.150  0.1876  0.0021  0.0093
0.250  0.1485  0.0018  0.0096
0.350  0.1205  0.0015  0.0075
0.450  0.0836  0.0012  0.0191
0.550  0.0763  0.0012  0.0054
0.650  0.0545  0.0010  0.0199
0.750  0.0391  0.0008  0.0033
0.850  0.0313  0.0007  0.0029
0.950  0.0192  0.0005  0.0024
1.050  0.0134  0.0005  0.0028
1.150  0.0076  0.0003  0.0014
1.250  0.0038  0.0002  0.0012
1.350  0.0011  0.0001  0.0002
1.450  0.0005  0.0001  0.0003
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
