# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0300776 -----------------
#dely    BF    dB     BFVar
0.050 -0.0016 -0.0000  0.0017
0.150  0.0034  0.0000  0.0038
0.250  0.0099  0.0000  0.0023
0.350  0.0194  0.0000  0.0020
0.450  0.0281  0.0000  0.0022
0.550  0.0336  0.0000  0.0018
0.650  0.0362  0.0000  0.0008
0.750  0.0355  0.0000  0.0016
0.850  0.0332  0.0000  0.0012
0.950  0.0281  0.0000  0.0011
1.050  0.0232  0.0000  0.0006
1.150  0.0182  0.0000  0.0003
1.250  0.0131  0.0000  0.0008
1.350  0.0095  0.0000  0.0004
1.450  0.0063  0.0000  0.0005
1.550  0.0035  0.0000  0.0003
1.650  0.0012  0.0000  0.0001
1.750  0.0001  0.0000  0.0000
