# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.23373 -----------------
#dely    BF    dB     BFVar
0.050  0.3417  0.0002  0.0050
0.150  0.3192  0.0002  0.0028
0.250  0.2926  0.0002  0.0036
0.350  0.2623  0.0002  0.0034
0.450  0.2342  0.0002  0.0029
0.550  0.2029  0.0001  0.0052
0.650  0.1715  0.0001  0.0023
0.750  0.1420  0.0001  0.0024
0.850  0.1120  0.0001  0.0013
0.950  0.0867  0.0001  0.0014
1.050  0.0634  0.0001  0.0013
1.150  0.0446  0.0001  0.0009
1.250  0.0294  0.0000  0.0020
1.350  0.0187  0.0000  0.0005
1.450  0.0103  0.0000  0.0004
1.550  0.0048  0.0000  0.0002
1.650  0.0012  0.0000  0.0001
1.750  0.0001  0.0000  0.0000
