# SIGMA_QGP=1.1448, SIGMA_HAD=0.515618
# NSAMPLE=10000000, Tblast=89.5679, UPERPblast(x,y)=(0.733,0.733)
# SOVERUD=0.7108, QUARK_ENTROPY_RATIO=0.2024, BARYON_FUDGE=0.6545
# ------- normalization=0.227337 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3121  0.0002  0.0670  0.0723  0.1728
0.150  0.2944  0.0002  0.0659  0.0676  0.1609
0.250  0.2690  0.0002  0.0602  0.0611  0.1478
0.350  0.2426  0.0002  0.0553  0.0542  0.1332
0.450  0.2174  0.0002  0.0506  0.0476  0.1193
0.550  0.1908  0.0002  0.0448  0.0414  0.1045
0.650  0.1644  0.0002  0.0411  0.0344  0.0889
0.750  0.1382  0.0002  0.0350  0.0279  0.0753
0.850  0.1150  0.0002  0.0310  0.0222  0.0618
0.950  0.0928  0.0001  0.0261  0.0173  0.0494
1.050  0.0724  0.0001  0.0218  0.0134  0.0372
1.150  0.0558  0.0001  0.0186  0.0099  0.0273
1.250  0.0408  0.0001  0.0145  0.0069  0.0194
1.350  0.0288  0.0001  0.0115  0.0048  0.0126
1.450  0.0193  0.0001  0.0085  0.0029  0.0080
1.550  0.0118  0.0000  0.0055  0.0018  0.0046
1.650  0.0061  0.0000  0.0031  0.0009  0.0021
1.750  0.0017  0.0000  0.0009  0.0002  0.0006
