 InvCoshPar_uu_width InvCoshPar_ud_width InvCoshPar_us_width InvCoshPar_ss_width
 0.462286 0.554725 0.821078 0.959258
 0.769734 0.307085 1.04056 1.09183
 0.546233 0.294377 0.917286 1.16091
 0.609423 0.3686 0.851704 0.952402
 0.58603 0.365343 0.874577 1.05936
 0.503018 0.584124 0.843879 0.991053
 0.51122 0.528971 0.796728 1.09989
 0.532969 0.46669 0.803259 1.09579
 0.522279 0.326191 0.828828 1.09053
 0.448317 0.416358 0.860231 1.06741
 0.50653 0.479985 0.784586 1.05404
 0.728343 0.540551 0.871611 1.10502
 0.602292 0.561089 0.873055 1.03827
 0.423373 0.484912 0.759026 1.08204
 0.546876 0.36217 0.860058 1.13398
 0.431156 0.429753 0.86358 1.12906
 0.412227 0.479869 0.78874 0.95818
 0.490607 0.433264 0.821528 0.950373
 0.436627 0.458631 0.782833 1.1022
 0.655293 0.429852 0.842597 1.00913
