'uu_width','ud_width','us_width','ss_width'
0.807807, 0.192324, 0.959943, 0.954091
0.881698, 0.275168, 1.02685, 1.04619
0.867956, 0.150231, 1.10867, 1.00936
0.940352, 0.272155, 1.0993, 1.0127
0.802981, 0.300615, 0.990394, 0.955627
0.770636, 0.288337, 1.10548, 0.892343
0.722419, 0.3941, 0.932262, 0.948719
0.759338, 0.281199, 0.996757, 0.900882
0.759712, 0.433983, 1.01851, 0.940052
0.702547, 0.485021, 0.983943, 0.87937
0.656993, 0.51436, 0.913039, 0.909446
0.656993, 0.51436, 0.913039, 0.909446
0.750584, 0.572504, 0.893906, 0.932482
0.794988, 0.537313, 0.934713, 0.901026
0.765232, 0.466245, 0.941476, 0.9147
0.786385, 0.4515, 0.986056, 0.774737
0.658026, 0.395623, 0.825798, 0.894367
0.704767, 0.431803, 0.923279, 0.919992
0.620744, 0.472589, 0.86298, 0.960132
0.574426, 0.605134, 0.775532, 0.958547
0.664068, 0.610788, 0.772572, 1.08562
0.732287, 0.530214, 0.720807, 1.05019
0.539204, 0.766378, 0.739198, 1.02476
0.479571, 0.751971, 0.776439, 0.938835
0.510198, 0.65874, 0.77801, 0.918904
0.497572, 0.655931, 0.836621, 0.922962
0.550214, 0.528118, 0.863793, 0.868973
0.645379, 0.508896, 0.85963, 0.938065
0.645379, 0.508896, 0.85963, 0.938065
0.583909, 0.595464, 0.787815, 0.952928
0.626343, 0.480992, 0.851929, 0.880974
0.59754, 0.394609, 0.843098, 0.890021
0.617471, 0.413326, 0.886773, 0.828083
0.574951, 0.531518, 0.93177, 0.835076
0.678047, 0.762664, 0.957211, 0.866802
0.701112, 0.790776, 0.885897, 0.948842
0.636189, 0.756465, 0.92477, 0.976296
0.620784, 0.978101, 0.974911, 1.03845
0.571608, 0.908031, 0.932565, 0.927859
0.559623, 0.998902, 1.0008, 0.907358
0.602169, 0.944054, 0.930633, 0.852808
0.640046, 1.03073, 0.942572, 0.78966
0.649717, 1.01921, 0.966356, 0.760715
0.646233, 1.03142, 0.841002, 0.866493
0.594408, 1.01811, 0.90285, 0.973286
0.568706, 1.01592, 0.891641, 0.941757
0.594253, 0.869112, 0.951108, 0.935562
0.573114, 0.88102, 0.995629, 0.904517
0.602009, 0.785164, 0.97203, 0.777806
0.681556, 0.774404, 0.965799, 0.794694
0.704831, 0.609025, 1.02585, 0.829859
0.715632, 0.632451, 0.877985, 0.863665
0.686748, 0.698487, 0.981527, 0.833735
0.751113, 0.638698, 1.01642, 0.910041
0.730631, 0.700693, 1.03723, 0.963267
0.61607, 0.714608, 0.877771, 0.935842
0.61607, 0.714608, 0.877771, 0.935842
0.675847, 0.691633, 1.02904, 0.870017
0.638553, 0.707246, 1.029, 0.861753
0.664015, 0.830257, 0.907972, 0.973625
0.617237, 0.904897, 0.845983, 1.06915
0.489757, 0.918111, 0.858643, 0.946833
0.513463, 1.01826, 0.90054, 0.981971
0.64969, 0.747424, 0.986915, 0.972927
0.659907, 0.6975, 0.883907, 0.914916
0.680375, 0.5827, 1.00486, 0.842695
0.706001, 0.697767, 0.946224, 0.842825
0.68713, 0.72903, 0.895882, 1.00538
0.603168, 0.872531, 0.81412, 1.03707
0.612792, 0.887234, 0.849714, 0.979497
0.538463, 0.937677, 0.925702, 0.998599
0.579655, 0.901806, 0.874225, 0.993115
0.549782, 0.895246, 0.807692, 0.985122
0.55704, 0.938503, 0.878791, 1.00226
0.58552, 0.963368, 0.954367, 0.924428
0.516137, 0.937362, 0.897602, 0.922224
