# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0803909 -----------------
#dely    BF    dB     BFVar
0.050  0.1319  0.0015  0.0050
0.150  0.1255  0.0014  0.0083
0.250  0.1087  0.0013  0.0048
0.350  0.1003  0.0013  0.0067
0.450  0.0831  0.0012  0.0076
0.550  0.0659  0.0010  0.0039
0.650  0.0579  0.0010  0.0188
0.750  0.0428  0.0008  0.0060
0.850  0.0346  0.0008  0.0025
0.950  0.0243  0.0007  0.0016
1.050  0.0150  0.0005  0.0023
1.150  0.0085  0.0004  0.0012
1.250  0.0034  0.0002  0.0013
1.350  0.0018  0.0002  0.0004
1.450  0.0002  0.0000  0.0001
1.550 -0.0000 -0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
