# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.133663 -----------------
#dely    BF    dB     BFVar
0.050  0.2807  0.0026  0.0123
0.150  0.2497  0.0023  0.0091
0.250  0.2105  0.0021  0.0105
0.350  0.1626  0.0018  0.0069
0.450  0.1231  0.0015  0.0065
0.550  0.0931  0.0013  0.0103
0.650  0.0646  0.0010  0.0081
0.750  0.0505  0.0009  0.0047
0.850  0.0374  0.0008  0.0045
0.950  0.0313  0.0009  0.0035
1.050  0.0188  0.0006  0.0021
1.150  0.0090  0.0004  0.0011
1.250  0.0038  0.0003  0.0010
1.350  0.0012  0.0001  0.0004
1.450  0.0002  0.0001  0.0001
1.550  0.0002  0.0001  0.0006
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
