# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.631468 -----------------
#dely    BF
0.050  1.8549  0.2859
0.150  4.0639  0.7272
0.250  2.1157  0.3398
0.350  0.0835  0.0155
0.450  0.1839  0.0337
0.550  0.3728  0.0936
0.650  0.0058  0.0014
0.750 -0.6162 -0.1723
0.850 -0.6480 -0.2982
0.950 -0.1580 -0.0647
1.050  0.0152  0.0088
1.150 -0.9585 -0.6234
1.250 -0.0005 -0.0005
1.350  0.0000  0.0000
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
