# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.227544 -----------------
#dely    BF    dB     BFVar
0.050  0.2510  0.0001  0.0043
0.150  0.2369  0.0001  0.0020
0.250  0.2250  0.0001  0.0021
0.350  0.2129  0.0001  0.0019
0.450  0.2017  0.0001  0.0033
0.550  0.1880  0.0001  0.0015
0.650  0.1717  0.0001  0.0032
0.750  0.1546  0.0001  0.0021
0.850  0.1380  0.0001  0.0017
0.950  0.1191  0.0001  0.0015
1.050  0.1021  0.0001  0.0011
1.150  0.0832  0.0001  0.0014
1.250  0.0657  0.0001  0.0021
1.350  0.0496  0.0001  0.0009
1.450  0.0357  0.0001  0.0016
1.550  0.0236  0.0000  0.0006
1.650  0.0127  0.0000  0.0004
1.750  0.0041  0.0000  0.0002
