# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0358374 -----------------
#dely    BF
0.050 -0.0579 -0.0008
0.150 -0.0525 -0.0007
0.250 -0.0538 -0.0008
0.350 -0.0439 -0.0007
0.450 -0.0405 -0.0007
0.550 -0.0291 -0.0005
0.650 -0.0250 -0.0005
0.750 -0.0205 -0.0005
0.850 -0.0166 -0.0004
0.950 -0.0079 -0.0002
1.050 -0.0055 -0.0002
1.150 -0.0034 -0.0001
1.250 -0.0012 -0.0001
1.350 -0.0004 -0.0000
1.450 -0.0001 -0.0000
1.550 -0.0000 -0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
