# ICODE=2212, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=10000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.17, BARYON_FUDGE=0.666667
# ------- normalization=0.0821624 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.1342  0.0019  0.1585 -0.0243  0.0000
0.150  0.1224  0.0018  0.1432 -0.0209  0.0000
0.250  0.1096  0.0017  0.1288 -0.0192  0.0000
0.350  0.1006  0.0017  0.1155 -0.0148  0.0000
0.450  0.0852  0.0016  0.0970 -0.0118  0.0000
0.550  0.0685  0.0015  0.0766 -0.0081  0.0000
0.650  0.0671  0.0017  0.0727 -0.0056  0.0000
0.750  0.0457  0.0014  0.0491 -0.0034  0.0000
0.850  0.0351  0.0013  0.0371 -0.0021  0.0000
0.950  0.0214  0.0011  0.0227 -0.0013  0.0000
1.050  0.0152  0.0009  0.0157 -0.0006  0.0000
1.150  0.0090  0.0008  0.0092 -0.0002  0.0000
1.250  0.0054  0.0006  0.0054  0.0000  0.0000
1.350  0.0017  0.0003  0.0018 -0.0000  0.0000
1.450  0.0003  0.0001  0.0003  0.0000  0.0000
1.550  0.0001  0.0001  0.0001  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
