# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.25, BARYON_FUDGE=0.666667
# ------- normalization=0.228043 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3134  0.0001  0.0860  0.0550  0.1724
0.150  0.2919  0.0001  0.0805  0.0510  0.1604
0.250  0.2676  0.0001  0.0746  0.0465  0.1465
0.350  0.2428  0.0001  0.0684  0.0415  0.1329
0.450  0.2177  0.0001  0.0623  0.0366  0.1188
0.550  0.1908  0.0001  0.0557  0.0312  0.1039
0.650  0.1651  0.0001  0.0499  0.0262  0.0890
0.750  0.1400  0.0001  0.0438  0.0214  0.0749
0.850  0.1162  0.0000  0.0374  0.0174  0.0614
0.950  0.0941  0.0000  0.0317  0.0136  0.0488
1.050  0.0741  0.0000  0.0267  0.0103  0.0372
1.150  0.0566  0.0000  0.0217  0.0077  0.0271
1.250  0.0415  0.0000  0.0169  0.0055  0.0191
1.350  0.0291  0.0000  0.0128  0.0037  0.0126
1.450  0.0196  0.0000  0.0093  0.0024  0.0079
1.550  0.0119  0.0000  0.0060  0.0014  0.0045
1.650  0.0061  0.0000  0.0034  0.0006  0.0021
1.750  0.0018  0.0000  0.0010  0.0002  0.0005
