# ICODE=211, JCODE=-211
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.25, BARYON_FUDGE=0.666667
# ------- normalization=0.214365 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3037  0.0001  0.0776  0.0559  0.1701
0.150  0.2852  0.0001  0.0731  0.0520  0.1601
0.250  0.2618  0.0001  0.0670  0.0472  0.1476
0.350  0.2373  0.0001  0.0613  0.0419  0.1341
0.450  0.2126  0.0001  0.0555  0.0363  0.1207
0.550  0.1855  0.0001  0.0490  0.0307  0.1058
0.650  0.1584  0.0001  0.0430  0.0253  0.0901
0.750  0.1316  0.0001  0.0371  0.0203  0.0743
0.850  0.1064  0.0001  0.0312  0.0159  0.0592
0.950  0.0831  0.0000  0.0259  0.0120  0.0452
1.050  0.0624  0.0000  0.0209  0.0088  0.0328
1.150  0.0451  0.0000  0.0163  0.0062  0.0226
1.250  0.0311  0.0000  0.0122  0.0042  0.0148
1.350  0.0200  0.0000  0.0085  0.0026  0.0089
1.450  0.0119  0.0000  0.0056  0.0014  0.0048
1.550  0.0057  0.0000  0.0030  0.0007  0.0021
1.650  0.0016  0.0000  0.0010  0.0002  0.0004
1.750  0.0001  0.0000  0.0001  0.0000  0.0000
