# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.00352489 -----------------
#dely    BF    dB     BFVar
0.050 -0.0197 -0.0001  0.0040
0.150 -0.0169 -0.0001  0.0036
0.250 -0.0122 -0.0001  0.0022
0.350 -0.0058 -0.0000  0.0020
0.450 -0.0012 -0.0000  0.0028
0.550  0.0014  0.0000  0.0013
0.650  0.0020  0.0000  0.0008
0.750  0.0043  0.0000  0.0010
0.850  0.0044  0.0001  0.0008
0.950  0.0033  0.0001  0.0006
1.050  0.0023  0.0000  0.0007
1.150  0.0015  0.0000  0.0002
1.250  0.0007  0.0000  0.0002
1.350  0.0003  0.0000  0.0000
1.450  0.0001  0.0000  0.0000
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
