# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=-0.0103073 -----------------
#dely    BF
0.050 -0.3331 -0.0021
0.150 -0.3478 -0.0023
0.250 -0.2190 -0.0015
0.350 -0.1584 -0.0012
0.450 -0.0052 -0.0000
0.550 -0.0068 -0.0001
0.650  0.0711  0.0007
0.750  0.1293  0.0013
0.850  0.1049  0.0012
0.950  0.1101  0.0014
1.050  0.1358  0.0019
1.150  0.1133  0.0018
1.250  0.0849  0.0015
1.350  0.0832  0.0017
1.450  0.0627  0.0016
1.550  0.0431  0.0013
1.650  0.0231  0.0010
1.750  0.0056  0.0004
