# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0680456 -----------------
#dely    BF
0.050 -0.0685 -0.0001
0.150 -0.0601 -0.0001
0.250 -0.0592 -0.0001
0.350 -0.0600 -0.0001
0.450 -0.0536 -0.0001
0.550 -0.0526 -0.0001
0.650 -0.0492 -0.0001
0.750 -0.0467 -0.0001
0.850 -0.0433 -0.0001
0.950 -0.0419 -0.0001
1.050 -0.0352 -0.0001
1.150 -0.0306 -0.0001
1.250 -0.0261 -0.0001
1.350 -0.0206 -0.0001
1.450 -0.0155 -0.0001
1.550 -0.0098 -0.0000
1.650 -0.0058 -0.0000
1.750 -0.0016 -0.0000
