# ICODE=211, JCODE=-321
# SIGMA_QGP=1, SIGMA_HAD=0.2
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.8
# ------- normalization=0.0131229 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0194  0.0000  0.0031  0.0048  0.0114
0.150  0.0191  0.0000  0.0031  0.0047  0.0113
0.250  0.0178  0.0000  0.0029  0.0042  0.0107
0.350  0.0162  0.0000  0.0026  0.0037  0.0099
0.450  0.0142  0.0000  0.0024  0.0031  0.0088
0.550  0.0119  0.0000  0.0020  0.0024  0.0075
0.650  0.0098  0.0000  0.0017  0.0019  0.0062
0.750  0.0079  0.0000  0.0015  0.0014  0.0050
0.850  0.0058  0.0000  0.0012  0.0010  0.0036
0.950  0.0039  0.0000  0.0009  0.0007  0.0023
1.050  0.0025  0.0000  0.0007  0.0004  0.0014
1.150  0.0014  0.0000  0.0005  0.0002  0.0007
1.250  0.0008  0.0000  0.0004  0.0001  0.0003
1.350  0.0003  0.0000  0.0002  0.0001  0.0001
1.450  0.0001  0.0000  0.0001  0.0000  0.0000
1.550  0.0000  0.0000  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750 -0.0000 -0.0000 -0.0000  0.0000  0.0000
