# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.272143 -----------------
#dely    BF    dB     BFVar
0.050  0.3546  0.0002  0.0034
0.150  0.3336  0.0002  0.0034
0.250  0.3104  0.0002  0.0031
0.350  0.2855  0.0002  0.0038
0.450  0.2576  0.0002  0.0031
0.550  0.2310  0.0002  0.0028
0.650  0.2032  0.0002  0.0025
0.750  0.1739  0.0002  0.0040
0.850  0.1456  0.0001  0.0020
0.950  0.1188  0.0001  0.0033
1.050  0.0952  0.0001  0.0014
1.150  0.0730  0.0001  0.0010
1.250  0.0552  0.0001  0.0014
1.350  0.0390  0.0001  0.0008
1.450  0.0259  0.0001  0.0005
1.550  0.0137  0.0000  0.0004
1.650  0.0050  0.0000  0.0002
1.750  0.0004  0.0000  0.0001
