# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=-0.0454788 -----------------
#dely    BF
0.050 -0.2422 -0.0094
0.150 -0.1687 -0.0072
0.250 -0.1036 -0.0047
0.350 -0.1372 -0.0065
0.450  0.0087  0.0005
0.550 -0.0383 -0.0022
0.650  0.0189  0.0013
0.750  0.0258  0.0019
0.850  0.0453  0.0035
0.950  0.0418  0.0039
1.050  0.0308  0.0034
1.150  0.0278  0.0038
1.250  0.0242  0.0042
1.350  0.0083  0.0019
1.450  0.0037  0.0013
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
