# SIGMA_QGP=1, SIGMA_HAD=0.333333
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.236141 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3324  0.0001  0.0620  0.0979  0.1725
0.150  0.3088  0.0001  0.0579  0.0909  0.1600
0.250  0.2827  0.0001  0.0536  0.0828  0.1462
0.350  0.2558  0.0001  0.0494  0.0733  0.1331
0.450  0.2273  0.0001  0.0447  0.0637  0.1189
0.550  0.1982  0.0001  0.0400  0.0543  0.1039
0.650  0.1699  0.0001  0.0359  0.0451  0.0889
0.750  0.1427  0.0001  0.0312  0.0365  0.0749
0.850  0.1172  0.0000  0.0270  0.0289  0.0613
0.950  0.0942  0.0000  0.0231  0.0224  0.0487
1.050  0.0730  0.0000  0.0190  0.0169  0.0371
1.150  0.0550  0.0000  0.0155  0.0123  0.0272
1.250  0.0400  0.0000  0.0124  0.0086  0.0190
1.350  0.0279  0.0000  0.0094  0.0058  0.0127
1.450  0.0183  0.0000  0.0067  0.0037  0.0079
1.550  0.0110  0.0000  0.0044  0.0021  0.0045
1.650  0.0055  0.0000  0.0024  0.0010  0.0021
1.750  0.0016  0.0000  0.0007  0.0003  0.0006
