# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.276008 -----------------
#dely    BF    dB     BFVar
0.050  0.4751  0.0002  0.0029
0.150  0.4328  0.0002  0.0026
0.250  0.3838  0.0002  0.0033
0.350  0.3274  0.0002  0.0022
0.450  0.2763  0.0002  0.0036
0.550  0.2223  0.0001  0.0030
0.650  0.1757  0.0001  0.0026
0.750  0.1360  0.0001  0.0043
0.850  0.1044  0.0001  0.0018
0.950  0.0767  0.0001  0.0021
1.050  0.0536  0.0001  0.0015
1.150  0.0379  0.0000  0.0008
1.250  0.0247  0.0000  0.0009
1.350  0.0162  0.0000  0.0007
1.450  0.0095  0.0000  0.0003
1.550  0.0050  0.0000  0.0008
1.650  0.0023  0.0000  0.0002
1.750  0.0005  0.0000  0.0001
