  3.75 -1.571e-02
 11.25 -2.102e-02
 18.75 -6.637e-03
 26.25  9.648e-04
 33.75  3.610e-03
 41.25  3.652e-03
 48.75  4.882e-03
 56.25  3.787e-03
 63.75  3.061e-03
 71.25  2.456e-03
 78.75  1.878e-03
 86.25  1.143e-03
 93.75  1.042e-03
101.25  6.650e-04
108.75  4.668e-04
116.25  4.191e-04
123.75  2.586e-04
131.25  3.559e-04
138.75  2.409e-04
146.25  1.405e-04
153.75  2.081e-04
161.25  2.134e-04
168.75  9.872e-05
176.25  2.537e-05
#double Rx 13.0
#double Ry 13.0
#double tau 10.0
#double T 100.0
#double uxmax 1.3
#double uymax 1.3
#double etaG 1.7
#double ptmin 100.0
#double ymax 1.0
#double NMILLIONPAIRS 10
##double RHBT 6.0
##double RHBT 6.0
