 InvCoshPar_uu_width InvCoshPar_ud_width InvCoshPar_us_width InvCoshPar_ss_width
 0.954035 0.279692 1.43383 0.911148
 0.606346 1.36224 1.0358 0.659803
 0.490321 1.46436 0.844423 0.73694
 0.869249 0.371606 1.4167 0.815362
 0.851907 0.284932 1.23936 0.88679
 0.548679 1.4419 0.713038 0.851676
 0.942295 0.357787 1.45977 0.915492
 0.784693 0.167881 1.05501 0.851665
 0.396549 1.36041 0.957325 0.577635
 0.638712 1.47459 1.39603 0.822447
 0.467844 1.47157 1.40164 0.744102
 0.458775 1.49961 0.699767 0.844483
 0.455919 1.41501 1.18089 0.704521
 0.643925 0.802632 0.866398 0.717588
 0.613664 1.01987 0.696577 0.772802
 0.565656 0.829221 0.912117 0.766086
 0.457705 0.709548 0.880441 0.587384
 0.552896 0.224766 0.95465 0.596347
 0.625605 0.159499 0.910175 0.80214
 0.838998 0.379573 1.16453 0.875449
