# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.040648 -----------------
#dely    BF
0.050 -0.0920 -0.0001
0.150 -0.0850 -0.0001
0.250 -0.0754 -0.0001
0.350 -0.0645 -0.0001
0.450 -0.0523 -0.0001
0.550 -0.0418 -0.0001
0.650 -0.0290 -0.0000
0.750 -0.0189 -0.0000
0.850 -0.0097 -0.0000
0.950 -0.0020 -0.0000
1.050  0.0039  0.0000
1.150  0.0084  0.0000
1.250  0.0087  0.0000
1.350  0.0124  0.0000
1.450  0.0112  0.0000
1.550  0.0102  0.0000
1.650  0.0068  0.0000
1.750  0.0024  0.0000
