# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.280534 -----------------
#dely    BF
0.050  0.5129  0.0005
0.150  0.4704  0.0005
0.250  0.4121  0.0004
0.350  0.3536  0.0004
0.450  0.2885  0.0003
0.550  0.2258  0.0003
0.650  0.1741  0.0002
0.750  0.1312  0.0002
0.850  0.0935  0.0002
0.950  0.0632  0.0001
1.050  0.0395  0.0001
1.150  0.0252  0.0001
1.250  0.0123  0.0000
1.350  0.0047  0.0000
1.450  0.0009  0.0000
1.550 -0.0003 -0.0000
1.650 -0.0015 -0.0000
1.750 -0.0007 -0.0000
